layer_or_baseline,auroc,cv_std
1,0.6322771224740816,0.017187566307552356
4,0.6632531474185005,0.01692952235798736
7,0.6890228835471868,0.021692664771082122
10,0.7408044626324584,0.016616519165499447
12,0.7532138451000123,0.01893341317696131
14,0.7659916937529996,0.007014973143947598
16,0.7919220013428321,0.005883583445104027
18,0.8016384682674706,0.012638382331875213
19,0.8038169649030401,0.01044173179551784
21,0.8057359516036401,0.008069665409469646
23,0.7792452245311766,0.010533355512550356
24,0.7886625978564363,0.016267854233237053
26,0.7900843754607345,0.015797867000092305
28,0.783764027909567,0.008286682312334478
mean_logprob,0.7500362813540131,
min_logprob,0.7529153031946871,
