signal,budget,selective_risk,recall,precision,risk
oracle,0.05,0.23332518934766674,0.4332344213649852,0.7464212678936605,0.23332518934766674
oracle,0.1,0.2292946669943475,0.44629080118694364,0.7504990019960079,0.2292946669943475
oracle,0.15,0.2076784333934553,0.5216617210682493,0.738655462184874,0.2076784333934553
oracle,0.2,0.19034780264222162,0.5810089020771514,0.7187958883994127,0.19034780264222162
oracle,0.3,0.14146023468057367,0.742433234421365,0.6245631552670994,0.14146023468057367
oracle,0.4,0.11526946107784432,0.8172106824925816,0.5739891621508962,0.11526946107784432
oracle,0.5,0.09569377990430622,0.8694362017804155,0.5284992784992785,0.09569377990430622
oracle,0.75,0.048179871520342615,0.973293768545994,0.3964225284022238,0.048179871520342615
oracle,1.0,0.0,1.0,0.3322816012620785,0.0
probe_fused,0.05,0.26850720742731493,0.34777448071216616,0.5991820040899796,0.26850720742731493
probe_fused,0.1,0.2654214794789875,0.3590504451038576,0.6037924151696606,0.2654214794789875
probe_fused,0.15,0.2535429013140943,0.41602373887240357,0.5890756302521009,0.2535429013140943
probe_fused,0.2,0.24130493394445943,0.4688427299703264,0.580029368575624,0.24130493394445943
probe_fused,0.3,0.21153846153846154,0.6148367952522256,0.5172241637543684,0.21153846153846154
probe_fused,0.4,0.19573353293413173,0.6896142433234421,0.484368486869529,0.19573353293413173
probe_fused,0.5,0.17920835145715527,0.7554896142433234,0.4592352092352092,0.17920835145715527
probe_fused,0.75,0.13276231263383298,0.9264094955489615,0.377326565143824,0.13276231263383298
probe_fused,1.0,0.0,1.0,0.3322816012620785,0.0
probe_answer,0.05,0.2763254336672367,0.3287833827893175,0.5664621676891616,0.2763254336672367
probe_answer,0.1,0.27328581961169823,0.3400593471810089,0.5718562874251497,0.27328581961169823
probe_answer,0.15,0.26075753671734087,0.39940652818991096,0.565546218487395,0.26075753671734087
probe_answer,0.2,0.2504718252898355,0.44866468842729973,0.5550660792951542,0.2504718252898355
probe_answer,0.3,0.2245762711864407,0.5910979228486647,0.49725411882176734,0.2245762711864407
probe_answer,0.4,0.20696107784431136,0.6718100890207716,0.47186327636515213,0.20696107784431136
probe_answer,0.5,0.19617224880382775,0.7323442136498516,0.44516594516594515,0.19617224880382775
probe_answer,0.75,0.16381156316916487,0.9091988130563798,0.37031665458061397,0.16381156316916487
probe_answer,1.0,0.0,1.0,0.3322816012620785,0.0
min_logprob,0.05,0.29098460786709013,0.29317507418397626,0.5051124744376279,0.29098460786709013
min_logprob,0.1,0.28852297861882525,0.3032640949554896,0.5099800399201597,0.28852297861882525
min_logprob,0.15,0.27930945632568926,0.3566765578635015,0.5050420168067227,0.27930945632568926
min_logprob,0.2,0.27177136694526827,0.40178041543026705,0.49706314243759175,0.27177136694526827
min_logprob,0.3,0.2438070404172099,0.5560830860534125,0.4677983025461807,0.2438070404172099
min_logprob,0.4,0.22904191616766467,0.6367952522255192,0.4472696957065444,0.22904191616766467
min_logprob,0.5,0.2161809482383645,0.7050445103857567,0.42857142857142855,0.2161809482383645
min_logprob,0.75,0.16274089935760172,0.9097922848664688,0.37055837563451777,0.16274089935760172
min_logprob,1.0,0.0,1.0,0.3322816012620785,0.0
mean_logprob,0.05,0.2948937209870511,0.2836795252225519,0.4887525562372188,0.2948937209870511
mean_logprob,0.1,0.29245514868518063,0.29376854599406527,0.4940119760479042,0.29245514868518063
mean_logprob,0.15,0.28137078072661686,0.3519287833827893,0.49831932773109244,0.28137078072661686
mean_logprob,0.2,0.27231059584793743,0.40059347181008903,0.4955947136563877,0.27231059584793743
mean_logprob,0.3,0.2486962190352021,0.5471810089020771,0.46030953569645533,0.2486962190352021
mean_logprob,0.4,0.2312874251497006,0.6332344213649852,0.44476865360566903,0.2312874251497006
mean_logprob,0.5,0.21705089169204,0.7038575667655786,0.42784992784992787,0.21705089169204
mean_logprob,0.75,0.16809421841541755,0.9068249258160237,0.3693497703649988,0.16809421841541755
mean_logprob,1.0,0.0,1.0,0.3322816012620785,0.0
random,0.05,0.33496213046665035,0.18635014836795252,0.3210633946830266,0.33496213046665035
random,0.1,0.33251413123617596,0.1970326409495549,0.3313373253493014,0.33251413123617596
random,0.15,0.331615562999227,0.23620178041543027,0.334453781512605,0.331615562999227
random,0.2,0.331356160690213,0.27062314540059346,0.33480176211453744,0.331356160690213
random,0.3,0.3324641460234681,0.39465875370919884,0.3320019970044933,0.3324641460234681
random,0.4,0.3312125748502994,0.47477744807121663,0.3334722801167153,0.3312125748502994
random,0.5,0.33014354066985646,0.5495548961424332,0.33405483405483405,0.33014354066985646
random,0.75,0.3286937901498929,0.8178041543026706,0.3330916122794295,0.3286937901498929
random,1.0,0.0,1.0,0.3322816012620785,0.0
